country,tourists,year
Thai,2453644,2012
Thai,2846958,2013
Thai,2654037,2014
Thai,2930468,2015
Thai,4984603,2016
Thai,5431398,2017
Thai,21301108,All (2012-2017)
China,958078,2012
China,1176804,2013
China,1101824,2014
China,1868365,2015
China,2545084,2016
China,2577125,2017
China,10227280,All (2012-2017)
Russia,2223666,2012
Russia,1655313,2013
Russia,1348976,2014
Russia,569811,2015
Russia,822188,2016
Russia,1044416,2017
Russia,7664370,All (2012-2017)
Korea,268419,2012
Korea,392842,2013
Korea,356236,2014
Korea,463137,2015
Korea,612376,2016
Korea,625520,2017
Korea,2718530,All (2012-2017)
Germany,345547,2012
Germany,437398,2013
Germany,392707,2014
Germany,398529,2015
Germany,392657,2016
Germany,381408,2017
Germany,2348246,All (2012-2017)
India,305315,2012
India,361620,2013
India,321302,2014
India,355599,2015
India,428926,2016
India,532086,2017
India,2304848,All (2012-2017)
United Kingdom,213845,2012
United Kingdom,290311,2013
United Kingdom,261728,2014
United Kingdom,348699,2015
United Kingdom,360224,2016
United Kingdom,336797,2017
United Kingdom,1811604,All (2012-2017)
Taiwan,168785,2012
Taiwan,196840,2013
Taiwan,177190,2014
Taiwan,211883,2015
Taiwan,285715,2016
Taiwan,342336,2017
Taiwan,1382749,All (2012-2017)
Japan,81685,2012
Japan,110148,2013
Japan,106499,2014
Japan,152070,2015
Japan,199338,2016
Japan,230278,2017
Japan,880018,All (2012-2017)
Vietnam,118917,2012
Vietnam,125967,2013
Vietnam,107895,2014
Vietnam,109957,2015
Vietnam,172756,2016
Vietnam,232461,2017
Vietnam,867953,All (2012-2017)
United States,100765,2012
United States,135601,2013
United States,124621,2014
United States,160296,2015
United States,176637,2016
United States,168653,2017
United States,866573,All (2012-2017)
Australia,116581,2012
Australia,150178,2013
Australia,131790,2014
Australia,166843,2015
Australia,157125,2016
Australia,143128,2017
Australia,865645,All (2012-2017)
Hong Kong,91062,2012
Hong Kong,109556,2013
Hong Kong,98848,2014
Hong Kong,124999,2015
Hong Kong,167000,2016
Hong Kong,205022,2017
Hong Kong,796487,All (2012-2017)
Netherlands,74964,2012
Netherlands,97160,2013
Netherlands,88728,2014
Netherlands,93371,2015
Netherlands,98272,2016
Netherlands,111156,2017
Netherlands,563651,All (2012-2017)
Sweden,65383,2012
Sweden,97547,2013
Sweden,88575,2014
Sweden,92930,2015
Sweden,104834,2016
Sweden,112943,2017
Sweden,562212,All (2012-2017)
France,62736,2012
France,87555,2013
France,80407,2014
France,95733,2015
France,105757,2016
France,113314,2017
France,545502,All (2012-2017)
Norway,73541,2012
Norway,86218,2013
Norway,81489,2014
Norway,69836,2015
Norway,79258,2016
Norway,92297,2017
Norway,482639,All (2012-2017)
Italy,46043,2012
Italy,61261,2013
Italy,59198,2014
